Questions List (OMR)
Subject 1: Accountancy/Book Keeping (301)
Sr. No.	Question ID	Correct Options/Answers	Options/Answer for Challenge
1.	1	2	1 2 3 4 None of these
2.	2	2	1 2 3 4 None of these
3.	3	4	1 2 3 4 None of these
4.	4	4	1 2 3 4 None of these
5.	5	1	1 2 3 4 None of these
6.	6	3	1 2 3 4 None of these
7.	7	2	1 2 3 4 None of these
8.	8	2	1 2 3 4 None of these
9.	9	3	1 2 3 4 None of these
10.	10	4	1 2 3 4 None of these
11.	11	1	1 2 3 4 None of these
12.	12	3	1 2 3 4 None of these
13.	13	1	1 2 3 4 None of these
14.	14	4	1 2 3 4 None of these
15.	15	1	1 2 3 4 None of these
16.	16	1	1 2 3 4 None of these
17.	17	2	1 2 3 4 None of these
18.	18	3	1 2 3 4 None of these
19.	19	2	1 2 3 4 None of these
20.	20	1	1 2 3 4 None of these
21.	21	4	1 2 3 4 None of these
22.	22	2	1 2 3 4 None of these
23.	23	4	1 2 3 4 None of these
24.	24	3	1 2 3 4 None of these
25.	25	2	1 2 3 4 None of these
26.	26	3	1 2 3 4 None of these
27.	27	1	1 2 3 4 None of these
28.	28	3	1 2 3 4 None of these
29.	29	2	1 2 3 4 None of these
30.	30	1	1 2 3 4 None of these
31.	31	3	1 2 3 4 None of these
32.	32	1	1 2 3 4 None of these
33.	33	2	1 2 3 4 None of these
34.	34	1	1 2 3 4 None of these
35.	35	2	1 2 3 4 None of these
36.	36	1	1 2 3 4 None of these
37.	37	2	1 2 3 4 None of these
38.	38	3	1 2 3 4 None of these
39.	39	4	1 2 3 4 None of these
40.	40	1	1 2 3 4 None of these
41.	41	1	1 2 3 4 None of these
42.	42	1	1 2 3 4 None of these
43.	43	3	1 2 3 4 None of these
44.	44	3	1 2 3 4 None of these
45.	45	4	1 2 3 4 None of these
46.	46	3	1 2 3 4 None of these
47.	47	1	1 2 3 4 None of these
48.	48	2	1 2 3 4 None of these
49.	49	2	1 2 3 4 None of these
50.	50	2	1 2 3 4 None of these
Claimed Answer Key List Upload Document: Accountancy/Book Keeping (301)No file chosen

In case the Candidates want to submit documents in supports of challenge of answer key, they should uploads the PDF file with Maximum size of 1 MB.

Subject 2: Business Studies (305)
Sr. No.	Question ID	Correct Options/Answers	Options/Answer for Challenge
1.	1	1	1 2 3 4 None of these
2.	2	4	1 2 3 4 None of these
3.	3	3	1 2 3 4 None of these
4.	4	3	1 2 3 4 None of these
5.	5	5	Drop
6.	6	1	1 2 3 4 None of these
7.	7	2	1 2 3 4 None of these
8.	8	3	1 2 3 4 None of these
9.	9	2	1 2 3 4 None of these
10.	10	4	1 2 3 4 None of these
11.	11	3	1 2 3 4 None of these
12.	12	3	1 2 3 4 None of these
13.	13	1	1 2 3 4 None of these
14.	14	3	1 2 3 4 None of these
15.	15	3	1 2 3 4 None of these
16.	16	3	1 2 3 4 None of these
17.	17	4	1 2 3 4 None of these
18.	18	2	1 2 3 4 None of these
19.	19	2	1 2 3 4 None of these
20.	20	1	1 2 3 4 None of these
21.	21	3	1 2 3 4 None of these
22.	22	3	1 2 3 4 None of these
23.	23	2	1 2 3 4 None of these
24.	24	4	1 2 3 4 None of these
25.	25	4	1 2 3 4 None of these
26.	26	1	1 2 3 4 None of these
27.	27	2	1 2 3 4 None of these
28.	28	1	1 2 3 4 None of these
29.	29	2	1 2 3 4 None of these
30.	30	3	1 2 3 4 None of these
31.	31	1	1 2 3 4 None of these
32.	32	1	1 2 3 4 None of these
33.	33	1	1 2 3 4 None of these
34.	34	1	1 2 3 4 None of these
35.	35	4	1 2 3 4 None of these
36.	36	1	1 2 3 4 None of these
37.	37	4	1 2 3 4 None of these
38.	38	1	1 2 3 4 None of these
39.	39	2	1 2 3 4 None of these
40.	40	3	1 2 3 4 None of these
41.	41	4	1 2 3 4 None of these
42.	42	1	1 2 3 4 None of these
43.	43	2	1 2 3 4 None of these
44.	44	3	1 2 3 4 None of these
45.	45	2	1 2 3 4 None of these
46.	46	4	1 2 3 4 None of these
47.	47	4	1 2 3 4 None of these
48.	48	2	1 2 3 4 None of these
49.	49	4	1 2 3 4 None of these
50.	50	4	1 2 3 4 None of these
Claimed Answer Key List Upload Document: Business Studies (305)No file chosen

In case the Candidates want to submit documents in supports of challenge of answer key, they should uploads the PDF file with Maximum size of 1 MB.

Subject 3: Economics/Business Economics (309)
Sr. No.	Question ID	Correct Options/Answers	Options/Answer for Challenge
1.	1	2	1 2 3 4 None of these
2.	2	4	1 2 3 4 None of these
3.	3	2	1 2 3 4 None of these
4.	4	2	1 2 3 4 None of these
5.	5	2	1 2 3 4 None of these
6.	6	3	1 2 3 4 None of these
7.	7	4	1 2 3 4 None of these
8.	8	3	1 2 3 4 None of these
9.	9	3	1 2 3 4 None of these
10.	10	2	1 2 3 4 None of these
11.	11	2	1 2 3 4 None of these
12.	12	2	1 2 3 4 None of these
13.	13	3	1 2 3 4 None of these
14.	14	2	1 2 3 4 None of these
15.	15	3	1 2 3 4 None of these
16.	16	3	1 2 3 4 None of these
17.	17	2	1 2 3 4 None of these
18.	18	2	1 2 3 4 None of these
19.	19	4	1 2 3 4 None of these
20.	20	3	1 2 3 4 None of these
21.	21	2	1 2 3 4 None of these
22.	22	2	1 2 3 4 None of these
23.	23	1	1 2 3 4 None of these
24.	24	3	1 2 3 4 None of these
25.	25	4	1 2 3 4 None of these
26.	26	2	1 2 3 4 None of these
27.	27	4	1 2 3 4 None of these
28.	28	3	1 2 3 4 None of these
29.	29	1	1 2 3 4 None of these
30.	30	2	1 2 3 4 None of these
31.	31	2	1 2 3 4 None of these
