Questions List (OMR)
Subject 1: Accountancy/Book Keeping (301) (Test Booklet No.: 28097153)
Sr. No.	Question ID	Captured Response as per OMR	Options/Answer for Challenge
1.	1	2	1 2 3 4
2.	2	2	1 2 3 4
3.	3	4	1 2 3 4
4.	4	4	1 2 3 4
5.	5	-	1 2 3 4
6.	6	-	1 2 3 4
7.	7	2	1 2 3 4
8.	8	2	1 2 3 4
9.	9	3	1 2 3 4
10.	10	-	1 2 3 4
11.	11	-	1 2 3 4
12.	12	-	1 2 3 4
13.	13	1	1 2 3 4
14.	14	4	1 2 3 4
15.	15	1	1 2 3 4
16.	16	1	1 2 3 4
17.	17	2	1 2 3 4
18.	18	3	1 2 3 4
19.	19	2	1 2 3 4
20.	20	1	1 2 3 4
21.	21	-	1 2 3 4
22.	22	-	1 2 3 4
23.	23	4	1 2 3 4
24.	24	-	1 2 3 4
25.	25	-	1 2 3 4
26.	26	3	1 2 3 4
27.	27	1	1 2 3 4
28.	28	-	1 2 3 4
29.	29	2	1 2 3 4
30.	30	1	1 2 3 4
31.	31	3	1 2 3 4
32.	32	1	1 2 3 4
33.	33	2	1 2 3 4
34.	34	1	1 2 3 4
35.	35	2	1 2 3 4
36.	36	1	1 2 3 4
37.	37	2	1 2 3 4
38.	38	3	1 2 3 4
39.	39	4	1 2 3 4
40.	40	1	1 2 3 4
41.	41	1	1 2 3 4
42.	42	1	1 2 3 4
43.	43	3	1 2 3 4
44.	44	3	1 2 3 4
45.	45	4	1 2 3 4
46.	46	3	1 2 3 4
47.	47	1	1 2 3 4
48.	48	2	1 2 3 4
49.	49	2	1 2 3 4
50.	50	2	1 2 3 4
Claimed Answer Key List Upload Document: Accountancy/Book Keeping (301)No file chosen

In case the Candidates want to submit documents in supports of challenge of answer key, they should uploads the PDF file with Maximum size of 1 MB.

Subject 2: Business Studies (305) (Test Booklet No.: 27104089)
Sr. No.	Question ID	Captured Response as per OMR	Options/Answer for Challenge
1.	1	1	1 2 3 4
2.	2	4	1 2 3 4
3.	3	3	1 2 3 4
4.	4	3	1 2 3 4
5.	5	3	1 2 3 4
6.	6	1	1 2 3 4
7.	7	2	1 2 3 4
8.	8	3	1 2 3 4
9.	9	2	1 2 3 4
10.	10	4	1 2 3 4
11.	11	3	1 2 3 4
12.	12	3	1 2 3 4
13.	13	-	1 2 3 4
14.	14	3	1 2 3 4
15.	15	-	1 2 3 4
16.	16	3	1 2 3 4
17.	17	4	1 2 3 4
18.	18	-	1 2 3 4
19.	19	2	1 2 3 4
20.	20	1	1 2 3 4
21.	21	-	1 2 3 4
22.	22	3	1 2 3 4
23.	23	2	1 2 3 4
24.	24	4	1 2 3 4
25.	25	4	1 2 3 4
26.	26	1	1 2 3 4
27.	27	2	1 2 3 4
28.	28	1	1 2 3 4
29.	29	2	1 2 3 4
30.	30	-	1 2 3 4
31.	31	1	1 2 3 4
32.	32	-	1 2 3 4
33.	33	1	1 2 3 4
34.	34	1	1 2 3 4
35.	35	-	1 2 3 4
36.	36	1	1 2 3 4
37.	37	4	1 2 3 4
38.	38	-	1 2 3 4
39.	39	2	1 2 3 4
40.	40	3	1 2 3 4
41.	41	4	1 2 3 4
42.	42	1	1 2 3 4
43.	43	2	1 2 3 4
44.	44	3	1 2 3 4
45.	45	2	1 2 3 4
46.	46	4	1 2 3 4
47.	47	-	1 2 3 4
48.	48	2	1 2 3 4
49.	49	4	1 2 3 4
50.	50	-	1 2 3 4
Claimed Answer Key List Upload Document: Business Studies (305)No file chosen

In case the Candidates want to submit documents in supports of challenge of answer key, they should uploads the PDF file with Maximum size of 1 MB.

Subject 3: Economics/Business Economics (309) (Test Booklet No.: 25098831)
Sr. No.	Question ID	Captured Response as per OMR	Options/Answer for Challenge
1.	1	2	1 2 3 4
2.	2	4	1 2 3 4
3.	3	2	1 2 3 4
4.	4	2	1 2 3 4
5.	5	2	1 2 3 4
6.	6	3	1 2 3 4
7.	7	1	1 2 3 4
8.	8	-	1 2 3 4
9.	9	3	1 2 3 4
10.	10	2	1 2 3 4
11.	11	-	1 2 3 4
12.	12	2	1 2 3 4
13.	13	3	1 2 3 4
14.	14	-	1 2 3 4
15.	15	-	1 2 3 4
16.	16	3	1 2 3 4
17.	17	2	1 2 3 4
18.	18	2	1 2 3 4
19.	19	4	1 2 3 4
